supplier,model,type,image_input,action,catalog_source,lifecycle_source
Claude,claude-fable-5-1,llm,yes,add,https://platform.claude.com/docs/en/models/overview,https://platform.claude.com/docs/en/about-claude/model-deprecations
Claude,claude-haiku-4-5,vlm,yes,keep,https://platform.claude.com/docs/en/models/overview,https://platform.claude.com/docs/en/about-claude/model-deprecations
Claude,claude-opus-4-7,vlm,yes,keep,https://platform.claude.com/docs/en/models/overview,https://platform.claude.com/docs/en/about-claude/model-deprecations
Claude,claude-opus-5,llm,yes,add,https://platform.claude.com/docs/en/models/overview,https://platform.claude.com/docs/en/about-claude/model-deprecations
Claude,claude-sonnet-4-6,vlm,yes,keep,https://platform.claude.com/docs/en/models/overview,https://platform.claude.com/docs/en/about-claude/model-deprecations
Claude,claude-sonnet-5,llm,yes,add,https://platform.claude.com/docs/en/models/overview,https://platform.claude.com/docs/en/about-claude/model-deprecations
DeepSeek,deepseek-flash,llm,yes,add,https://api-docs.deepseek.com/,https://api-docs.deepseek.com/
DeepSeek,deepseek-v4-flash,llm,no,remove,https://api-docs.deepseek.com/,https://api-docs.deepseek.com/
DeepSeek,deepseek-v4-pro,llm,no,keep,https://api-docs.deepseek.com/,https://api-docs.deepseek.com/
Doubao,deepseek-r1-250528,llm,no,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,deepseek-v3-1-terminus,llm,no,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,deepseek-v3-2-251201,llm,no,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,deepseek-v3-250324,llm,no,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,deepseek-v4-1-flash-260910,llm,yes,add,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-1-5-lite-32k-250115,llm,no,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-1-5-pro-32k-250115,llm,no,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-1-5-pro-32k-character-250228,llm,no,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-1-5-pro-32k-character-250715,llm,no,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-1-5-vision-pro-32k-250115,vlm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-embedding-text-240715,embed,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-embedding-vision-241215,cross_modal_embed,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-1-6-250615,llm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-1-6-251015,llm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-1-6-flash-250828,llm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-1-6-vision-250815,vlm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-1-8-251228,llm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-2-0-code-preview-260215,llm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-2-0-lite-260215,llm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-2-0-lite-260428,llm,yes,add,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-2-0-mini-260215,llm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-2-0-mini-260428,llm,yes,add,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-2-0-pro-260215,llm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-2-1-pro-260628,llm,yes,add,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-2-1-pro-260915,llm,yes,add,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-2-1-turbo-260628,llm,yes,add,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-code-preview-251028,llm,yes,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seed-evolving,llm,yes,add,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
Doubao,doubao-seedance-1-0-pro-250528,text2video,not_applicable,keep,https://docs.volcengine.com/docs/ark/model-list?lang=zh,
